order_id,customer_id,product_sku,quantity,unit_price,total_amount,order_date,shipping_status,payment_method
SALE-03037,ACC-02187,ITEM-3018,3,26.2,78.6,2023-01-07,Completed,PayPal
SALE-03038,ACC-02494,ITEM-3017,1,107.6,107.6,2023-01-07,Pending,Cash on Delivery
SALE-03039,ACC-02433,ITEM-3001,1,289.35,289.35,2023-01-08,In Transit,Cash on Delivery
SALE-03040,ACC-02475,ITEM-3013,1,65.55,65.55,2023-01-08,Delivered,Cash on Delivery
SALE-03041,ACC-02162,ITEM-3015,3,54.68,164.04,2023-01-08,Completed,Cash on Delivery
SALE-03042,ACC-02401,ITEM-3013,3,65.55,196.65,2023-01-09,Processing,Bank Transfer
SALE-03043,ACC-02270,ITEM-3011,2,95.37,190.74,2023-01-09,Processing,PayPal
SALE-03044,ACC-02343,ITEM-3006,1,370.64,370.64,2023-01-09,Cancelled,Digital Wallet
SALE-03045,ACC-02169,ITEM-3020,1,18.67,18.67,2023-01-09,In Transit,Digital Wallet
SALE-03046,ACC-02332,ITEM-3012,1,86.4,86.4,2023-01-09,Cancelled,PayPal
SALE-03047,ACC-02303,ITEM-3013,1,65.55,65.55,2023-01-10,Cancelled,PayPal
SALE-03048,ACC-02231,ITEM-3002,1,20.75,20.75,2023-01-10,Returned,PayPal
SALE-03049,ACC-02252,ITEM-3006,1,370.64,370.64,2023-01-10,Cancelled,Bank Transfer
SALE-03050,ACC-02046,ITEM-3010,5,46.12,230.6,2023-01-10,Completed,PayPal
SALE-03051,ACC-02012,ITEM-3009,1,96.29,96.29,2023-01-10,Cancelled,Credit Card
SALE-03052,ACC-02196,ITEM-3004,1,153.99,153.99,2023-01-11,Delivered,Bank Transfer
SALE-03053,ACC-02361,ITEM-3003,1,14.26,14.26,2023-01-11,Pending,Debit Card
SALE-03054,ACC-02275,ITEM-3013,1,65.55,65.55,2023-01-11,Delivered,Credit Card
SALE-03055,ACC-02175,ITEM-3016,1,142.57,142.57,2023-01-11,Processing,Debit Card
SALE-03056,ACC-02080,ITEM-3003,4,14.26,57.04,2023-01-11,Delivered,PayPal
SALE-03057,ACC-02143,ITEM-3015,1,54.68,54.68,2023-01-11,Delivered,Bank Transfer
SALE-03058,ACC-02041,ITEM-3006,1,370.64,370.64,2023-01-12,Completed,Bank Transfer
SALE-03059,ACC-02094,ITEM-3006,5,370.64,1853.2,2023-01-12,Processing,PayPal
SALE-03060,ACC-02188,ITEM-3005,4,82.23,328.92,2023-01-12,Processing,Debit Card
SALE-03061,ACC-02079,ITEM-3010,1,46.12,46.12,2023-01-12,Pending,Debit Card
SALE-03062,ACC-02224,ITEM-3018,1,26.15,26.15,2023-01-13,Delivered,Digital Wallet
SALE-03063,ACC-02368,ITEM-3005,1,76.29,76.29,2023-01-13,Delivered,Debit Card
SALE-03064,ACC-02006,ITEM-3017,1,107.6,107.6,2023-01-13,Processing,Cash on Delivery
SALE-03065,ACC-02473,ITEM-3001,1,289.35,289.35,2023-01-13,Pending,Credit Card
SALE-03066,ACC-02092,ITEM-3006,1,356.85,356.85,2023-01-14,In Transit,Debit Card
SALE-03067,ACC-02423,ITEM-3015,1,54.68,54.68,2023-01-14,In Transit,Digital Wallet
SALE-03068,ACC-02175,ITEM-3016,1,142.57,142.57,2023-01-14,Cancelled,PayPal
SALE-03069,ACC-02255,ITEM-3004,1,131.2,131.2,2023-01-14,Processing,Digital Wallet
SALE-03070,ACC-02219,ITEM-3010,1,46.12,46.12,2023-01-15,Pending,Bank Transfer
SALE-03071,ACC-02340,ITEM-3007,3,119.53,358.59,2023-01-15,In Transit,Digital Wallet
SALE-03072,ACC-02449,ITEM-3012,1,86.4,86.4,2023-01-15,Processing,Credit Card
SALE-03073,ACC-02146,ITEM-3015,1,50.53,50.53,2023-01-15,Completed,PayPal
SALE-03074,ACC-02056,ITEM-3012,1,86.4,86.4,2023-01-15,Processing,Credit Card
SALE-03075,ACC-02415,ITEM-3017,1,106.41,106.41,2023-01-16,Cancelled,Bank Transfer
SALE-03076,ACC-02442,ITEM-3007,1,119.53,119.53,2023-01-16,Processing,Debit Card
SALE-03077,ACC-02095,ITEM-3009,1,81.56,81.56,2023-01-16,Pending,PayPal
SALE-03078,ACC-02333,ITEM-3003,3,14.26,42.78,2023-01-16,Pending,PayPal
SALE-03079,ACC-02373,ITEM-3013,1,65.55,65.55,2023-01-16,In Transit,Digital Wallet
SALE-03080,ACC-02067,ITEM-3011,5,95.37,476.85,2023-01-16,Delivered,Cash on Delivery
SALE-03081,ACC-02278,ITEM-3016,1,142.57,142.57,2023-01-16,In Transit,PayPal
SALE-03082,ACC-02377,ITEM-3011,1,84.32,84.32,2023-01-16,Returned,Credit Card
SALE-03083,ACC-02258,ITEM-3003,1,14.26,14.26,2023-01-17,Processing,Debit Card
SALE-03084,ACC-02405,ITEM-3009,1,96.29,96.29,2023-01-17,Cancelled,PayPal
SALE-03085,ACC-02075,ITEM-3014,1,209.86,209.86,2023-01-18,Delivered,Digital Wallet
SALE-03086,ACC-02214,ITEM-3016,1,142.57,142.57,2023-01-18,In Transit,Digital Wallet
SALE-03087,ACC-02493,ITEM-3009,1,96.29,96.29,2023-01-18,Cancelled,Bank Transfer
SALE-03088,ACC-02434,ITEM-3012,1,80.73,80.73,2023-01-18,In Transit,Digital Wallet
SALE-03089,ACC-02031,ITEM-3006,1,346.1,346.1,2023-01-18,Processing,Debit Card
SALE-03090,ACC-02148,ITEM-3006,1,326.47,326.47,2023-01-19,Delivered,Debit Card
SALE-03091,ACC-02397,ITEM-3017,1,107.6,107.6,2023-01-19,Cancelled,Digital Wallet
SALE-03092,ACC-02045,ITEM-3002,1,18.36,18.36,2023-01-19,Cancelled,Digital Wallet
SALE-03093,ACC-02421,ITEM-3012,1,86.4,86.4,2023-01-19,Cancelled,Cash on Delivery
SALE-03094,ACC-02245,ITEM-3013,1,65.55,65.55,2023-01-20,Completed,PayPal
SALE-03095,ACC-02409,ITEM-3001,4,289.35,1157.4,2023-01-20,Pending,Credit Card
SALE-03096,ACC-02035,ITEM-3003,3,14.26,42.78,2023-01-20,Cancelled,Cash on Delivery
SALE-03097,ACC-02223,ITEM-3015,1,54.68,54.68,2023-01-20,Processing,PayPal
SALE-03098,ACC-02015,ITEM-3019,2,9.0,18.01,2023-01-20,Delivered,Cash on Delivery
SALE-03099,ACC-02113,ITEM-3018,1,24.12,24.12,2023-01-21,Completed,Cash on Delivery
SALE-03100,ACC-02392,ITEM-3017,1,107.6,107.6,2023-01-21,Returned,Debit Card
SALE-03101,ACC-02465,ITEM-3019,1,9.01,9.01,2023-01-21,Returned,Debit Card
SALE-03102,ACC-02127,ITEM-3003,1,14.26,14.26,2023-01-21,Returned,Cash on Delivery
SALE-03103,ACC-02119,ITEM-3005,1,82.23,82.23,2023-01-21,Cancelled,Cash on Delivery
SALE-03104,ACC-02405,ITEM-3018,1,26.2,26.2,2023-01-21,Cancelled,Digital Wallet
SALE-03105,ACC-02179,ITEM-3005,1,82.23,82.23,2023-01-22,Completed,Debit Card
SALE-03106,ACC-02386,ITEM-3007,1,119.53,119.53,2023-01-22,Delivered,Bank Transfer
SALE-03107,ACC-02419,ITEM-3010,4,46.12,184.48,2023-01-22,Processing,Debit Card
SALE-03108,ACC-02034,ITEM-3008,1,37.6,37.6,2023-01-22,Pending,Bank Transfer
SALE-03109,ACC-02293,ITEM-3018,1,26.2,26.2,2023-01-23,Pending,Bank Transfer
SALE-03110,ACC-02162,ITEM-3004,1,153.99,153.99,2023-01-23,Delivered,Debit Card
SALE-03111,ACC-02312,ITEM-3004,3,153.99,461.97,2023-01-23,Delivered,Cash on Delivery
SALE-03112,ACC-02444,ITEM-3017,3,107.6,322.8,2023-01-23,Delivered,Cash on Delivery
SALE-03113,ACC-02393,ITEM-3016,1,142.57,142.57,2023-01-24,Returned,Credit Card
SALE-03114,ACC-02207,ITEM-3001,5,281.41,1407.03,2023-01-24,Delivered,PayPal
SALE-03115,ACC-02397,ITEM-3008,1,37.6,37.6,2023-01-24,Cancelled,Digital Wallet
SALE-03116,ACC-02401,ITEM-3017,1,107.6,107.6,2023-01-24,Returned,PayPal
SALE-03117,ACC-02121,ITEM-3008,5,37.6,188.0,2023-01-25,In Transit,PayPal
SALE-03118,ACC-02291,ITEM-3011,1,95.37,95.37,2023-01-25,In Transit,Digital Wallet
SALE-03119,ACC-02171,ITEM-3007,3,119.53,358.59,2023-01-25,Completed,Bank Transfer
SALE-03120,ACC-02326,ITEM-3016,1,142.57,142.57,2023-01-25,Returned,Debit Card
SALE-03121,ACC-02301,ITEM-3010,1,46.12,46.12,2023-01-26,Pending,Credit Card
SALE-03122,ACC-02081,ITEM-3011,4,95.37,381.48,2023-01-26,Completed,Digital Wallet
SALE-03123,ACC-02381,ITEM-3008,4,37.6,150.4,2023-01-26,In Transit,PayPal
SALE-03124,ACC-02496,ITEM-3003,1,14.26,14.26,2023-01-26,Returned,Bank Transfer
SALE-03125,ACC-02451,ITEM-3018,3,26.2,78.6,2023-01-27,Completed,Cash on Delivery
SALE-03126,ACC-02130,ITEM-3001,1,289.35,289.35,2023-01-27,Delivered,PayPal
SALE-03127,ACC-02067,ITEM-3019,1,9.01,9.01,2023-01-27,Cancelled,Digital Wallet
SALE-03128,ACC-02143,ITEM-3017,1,107.6,107.6,2023-01-27,In Transit,Debit Card
SALE-03129,ACC-02029,ITEM-3003,1,14.26,14.26,2023-01-27,Delivered,PayPal
SALE-03130,ACC-02036,ITEM-3013,1,65.55,65.55,2023-01-28,Returned,Debit Card
SALE-03131,ACC-02468,ITEM-3019,1,9.01,9.01,2023-01-28,Delivered,Credit Card
SALE-03132,ACC-02048,ITEM-3004,1,153.99,153.99,2023-01-28,Completed,Digital Wallet
SALE-03133,ACC-02346,ITEM-3006,1,370.64,370.64,2023-01-28,Returned,Cash on Delivery
SALE-03134,ACC-02004,ITEM-3012,1,76.41,76.41,2023-01-28,Cancelled,Credit Card
SALE-03135,ACC-02437,ITEM-3002,2,20.71,41.43,2023-01-29,Completed,Debit Card
SALE-03136,ACC-02472,ITEM-3016,1,142.57,142.57,2023-01-29,Processing,Cash on Delivery
SALE-03137,ACC-02363,ITEM-3012,1,86.4,86.4,2023-01-29,Pending,PayPal
SALE-03138,ACC-02048,ITEM-3013,1,65.55,65.55,2023-01-29,Cancelled,Credit Card
SALE-03139,ACC-02011,ITEM-3008,2,37.6,75.2,2023-01-30,Processing,Cash on Delivery
SALE-03140,ACC-02308,ITEM-3009,1,82.51,82.51,2023-01-30,Delivered,Bank Transfer
SALE-03141,ACC-02176,ITEM-3015,1,54.68,54.68,2023-01-30,In Transit,Digital Wallet
SALE-03142,ACC-02121,ITEM-3016,1,142.57,142.57,2023-01-30,Cancelled,Bank Transfer
SALE-03143,ACC-02125,ITEM-3017,1,107.6,107.6,2023-01-31,Processing,Bank Transfer
SALE-03144,ACC-02202,ITEM-3009,1,96.29,96.29,2023-01-31,Delivered,Bank Transfer
SALE-03145,ACC-02454,ITEM-3004,4,153.99,615.96,2023-01-31,Pending,Cash on Delivery
SALE-03146,ACC-02171,ITEM-3010,1,46.12,46.12,2023-01-31,Processing,Credit Card
SALE-03147,ACC-02192,ITEM-3004,1,153.01,153.01,2023-01-31,In Transit,PayPal
SALE-03148,ACC-02303,ITEM-3009,4,96.29,385.16,2023-02-01,Delivered,Digital Wallet
SALE-03149,ACC-02333,ITEM-3011,1,95.37,95.37,2023-02-01,Completed,Debit Card
SALE-03150,ACC-02022,ITEM-3003,2,14.26,28.52,2023-02-01,Pending,Credit Card
SALE-03151,ACC-02117,ITEM-3002,1,20.75,20.75,2023-02-02,Returned,PayPal
SALE-03152,ACC-02338,ITEM-3002,1,20.75,20.75,2023-02-02,Completed,Credit Card
SALE-03153,ACC-02472,ITEM-3006,1,370.64,370.64,2023-02-02,Returned,Debit Card
SALE-03154,ACC-02359,ITEM-3014,1,246.69,246.69,2023-02-02,Processing,Cash on Delivery
SALE-03155,ACC-02267,ITEM-3006,4,370.64,1482.56,2023-02-03,Delivered,Bank Transfer
SALE-03156,ACC-02363,ITEM-3010,1,46.12,46.12,2023-02-03,Returned,PayPal
SALE-03157,ACC-02146,ITEM-3010,5,46.12,230.6,2023-02-03,Delivered,Digital Wallet
SALE-03158,ACC-02057,ITEM-3020,1,16.44,16.44,2023-02-04,Pending,Digital Wallet
SALE-03159,ACC-02252,ITEM-3012,5,86.4,432.0,2023-02-04,Delivered,PayPal
SALE-03160,ACC-02268,ITEM-3020,5,18.67,93.35,2023-02-04,Pending,Cash on Delivery
SALE-03161,ACC-02308,ITEM-3019,1,9.01,9.01,2023-02-04,Completed,Digital Wallet
SALE-03162,ACC-02399,ITEM-3005,1,82.23,82.23,2023-02-04,Returned,Digital Wallet
SALE-03163,ACC-02435,ITEM-3013,1,65.55,65.55,2023-02-04,Returned,Bank Transfer
SALE-03164,ACC-02420,ITEM-3004,5,153.99,769.95,2023-02-05,In Transit,Bank Transfer
SALE-03165,ACC-02329,ITEM-3011,4,95.37,381.48,2023-02-05,Returned,Debit Card
SALE-03166,ACC-02317,ITEM-3003,1,14.26,14.26,2023-02-05,Returned,Cash on Delivery
SALE-03167,ACC-02040,ITEM-3001,1,289.35,289.35,2023-02-05,Pending,Credit Card
SALE-03168,ACC-02348,ITEM-3005,4,82.23,328.92,2023-02-05,Returned,PayPal
SALE-03169,ACC-02229,ITEM-3002,1,20.75,20.75,2023-02-06,Completed,Digital Wallet
SALE-03170,ACC-02444,ITEM-3012,2,86.4,172.8,2023-02-06,In Transit,Digital Wallet
SALE-03171,ACC-02041,ITEM-3014,1,218.57,218.57,2023-02-06,Pending,Digital Wallet
SALE-03172,ACC-02123,ITEM-3006,1,338.97,338.97,2023-02-06,Returned,Bank Transfer
SALE-03173,ACC-02448,ITEM-3003,1,14.26,14.26,2023-02-07,Pending,Debit Card
SALE-03174,ACC-02164,ITEM-3020,1,17.98,17.98,2023-02-07,Pending,Debit Card
SALE-03175,ACC-02140,ITEM-3008,1,35.12,35.12,2023-02-07,Pending,Digital Wallet
SALE-03176,ACC-02194,ITEM-3006,1,370.64,370.64,2023-02-08,Returned,Bank Transfer
SALE-03177,ACC-02453,ITEM-3010,1,46.12,46.12,2023-02-08,Completed,Debit Card
SALE-03178,ACC-02424,ITEM-3003,1,14.26,14.26,2023-02-08,Processing,PayPal
SALE-03179,ACC-02365,ITEM-3012,1,86.4,86.4,2023-02-08,Returned,PayPal
SALE-03180,ACC-02218,ITEM-3005,1,82.23,82.23,2023-02-08,Cancelled,Debit Card
SALE-03181,ACC-02250,ITEM-3002,1,20.75,20.75,2023-02-08,Processing,PayPal
SALE-03182,ACC-02483,ITEM-3015,1,54.68,54.68,2023-02-09,Returned,Digital Wallet
SALE-03183,ACC-02279,ITEM-3001,1,289.35,289.35,2023-02-09,Completed,Cash on Delivery
SALE-03184,ACC-02124,ITEM-3005,1,82.23,82.23,2023-02-09,Returned,PayPal
SALE-03185,ACC-02158,ITEM-3019,1,9.01,9.01,2023-02-09,Pending,Bank Transfer
SALE-03186,ACC-02208,ITEM-3018,1,26.2,26.2,2023-02-09,Returned,Debit Card
SALE-03187,ACC-02198,ITEM-3013,4,65.55,262.2,2023-02-10,In Transit,Credit Card
SALE-03188,ACC-02132,ITEM-3008,2,37.6,75.2,2023-02-10,In Transit,Cash on Delivery
SALE-03189,ACC-02044,ITEM-3005,1,76.71,76.71,2023-02-10,Processing,Debit Card
SALE-03190,ACC-02103,ITEM-3015,2,54.68,109.36,2023-02-10,Pending,Digital Wallet
SALE-03191,ACC-02494,ITEM-3010,1,46.12,46.12,2023-02-10,Returned,Cash on Delivery
SALE-03192,ACC-02075,ITEM-3010,1,46.12,46.12,2023-02-11,Cancelled,Bank Transfer
SALE-03193,ACC-02363,ITEM-3019,1,9.01,9.01,2023-02-11,Delivered,Bank Transfer
SALE-03194,ACC-02352,ITEM-3008,1,37.6,37.6,2023-02-12,Pending,Digital Wallet
SALE-03195,ACC-02359,ITEM-3014,1,246.69,246.69,2023-02-12,Returned,Cash on Delivery
SALE-03196,ACC-02172,ITEM-3011,1,81.44,81.44,2023-02-12,Processing,PayPal
SALE-03197,ACC-02179,ITEM-3008,1,37.6,37.6,2023-02-12,Delivered,PayPal
SALE-03198,ACC-02015,ITEM-3009,4,96.29,385.16,2023-02-12,Cancelled,Digital Wallet
SALE-03199,ACC-02456,ITEM-3016,3,126.7,380.1,2023-02-13,Returned,PayPal
SALE-03200,ACC-02293,ITEM-3015,1,53.86,53.86,2023-02-13,Pending,Digital Wallet
SALE-03201,ACC-02096,ITEM-3019,1,9.01,9.01,2023-02-13,Completed,Debit Card
SALE-03202,ACC-02432,ITEM-3019,1,9.01,9.01,2023-02-13,Delivered,Cash on Delivery
SALE-03203,ACC-02167,ITEM-3002,1,20.75,20.75,2023-02-13,In Transit,Cash on Delivery
SALE-03204,ACC-02195,ITEM-3003,1,14.26,14.26,2023-02-14,Cancelled,Debit Card
SALE-03205,ACC-02003,ITEM-3010,1,46.12,46.12,2023-02-14,Delivered,Bank Transfer
SALE-03206,ACC-02371,ITEM-3019,1,7.9,7.9,2023-02-14,Delivered,Bank Transfer
SALE-03207,ACC-02298,ITEM-3011,1,95.37,95.37,2023-02-14,Returned,Cash on Delivery
SALE-03208,ACC-02210,ITEM-3006,3,342.34,1027.03,2023-02-15,Returned,Cash on Delivery
SALE-03209,ACC-02143,ITEM-3007,1,100.69,100.69,2023-02-15,Completed,Cash on Delivery
SALE-03210,ACC-02336,ITEM-3005,1,82.23,82.23,2023-02-15,In Transit,Cash on Delivery
SALE-03211,ACC-02239,ITEM-3003,5,14.26,71.3,2023-02-15,Processing,Credit Card
SALE-03212,ACC-02127,ITEM-3016,4,142.57,570.28,2023-02-15,Completed,Bank Transfer
SALE-03213,ACC-02363,ITEM-3009,1,96.29,96.29,2023-02-15,Processing,Cash on Delivery
SALE-03214,ACC-02116,ITEM-3001,1,289.35,289.35,2023-02-16,Completed,Cash on Delivery
SALE-03215,ACC-02226,ITEM-3005,1,82.23,82.23,2023-02-16,Delivered,Credit Card
SALE-03216,ACC-02215,ITEM-3001,1,289.35,289.35,2023-02-16,Delivered,Cash on Delivery
SALE-03217,ACC-02390,ITEM-3016,1,142.57,142.57,2023-02-16,Processing,Digital Wallet
SALE-03218,ACC-02229,ITEM-3012,1,86.4,86.4,2023-02-17,Completed,PayPal
SALE-03219,ACC-02438,ITEM-3011,3,95.37,286.11,2023-02-17,Processing,Cash on Delivery
SALE-03220,ACC-02352,ITEM-3003,1,12.89,12.89,2023-02-17,Pending,Cash on Delivery
SALE-03221,ACC-02196,ITEM-3015,3,54.68,164.04,2023-02-17,In Transit,Bank Transfer
SALE-03222,ACC-02233,ITEM-3007,2,119.53,239.06,2023-02-17,Cancelled,Credit Card
SALE-03223,ACC-02481,ITEM-3011,5,95.37,476.85,2023-02-18,Returned,PayPal
SALE-03224,ACC-02416,ITEM-3010,1,46.12,46.12,2023-02-18,In Transit,Digital Wallet
SALE-03225,ACC-02180,ITEM-3008,1,37.6,37.6,2023-02-18,Completed,PayPal
SALE-03226,ACC-02299,ITEM-3001,1,289.35,289.35,2023-02-19,Returned,Digital Wallet
SALE-03227,ACC-02054,ITEM-3014,1,246.69,246.69,2023-02-19,Completed,Cash on Delivery
SALE-03228,ACC-02293,ITEM-3005,1,82.23,82.23,2023-02-19,In Transit,Cash on Delivery
SALE-03229,ACC-02080,ITEM-3015,1,54.68,54.68,2023-02-19,Pending,Cash on Delivery
SALE-03230,ACC-02083,ITEM-3002,1,20.75,20.75,2023-02-19,Delivered,Digital Wallet
SALE-03231,ACC-02178,ITEM-3009,1,89.54,89.54,2023-02-19,Returned,Digital Wallet
SALE-03232,ACC-02167,ITEM-3003,2,14.26,28.52,2023-02-20,Completed,Cash on Delivery
SALE-03233,ACC-02284,ITEM-3002,1,20.75,20.75,2023-02-20,In Transit,Cash on Delivery
SALE-03234,ACC-02446,ITEM-3018,1,26.2,26.2,2023-02-20,Returned,Bank Transfer
SALE-03235,ACC-02190,ITEM-3009,3,96.29,288.87,2023-02-20,In Transit,Digital Wallet
SALE-03236,ACC-02311,ITEM-3019,1,9.01,9.01,2023-02-21,In Transit,Digital Wallet
SALE-03237,ACC-02237,ITEM-3010,4,46.12,184.48,2023-02-21,Returned,Cash on Delivery
SALE-03238,ACC-02107,ITEM-3014,1,246.69,246.69,2023-02-21,In Transit,Credit Card
SALE-03239,ACC-02358,ITEM-3015,4,54.68,218.72,2023-02-21,Completed,Debit Card
SALE-03240,ACC-02221,ITEM-3008,1,37.6,37.6,2023-02-21,Cancelled,Bank Transfer
SALE-03241,ACC-02197,ITEM-3005,4,82.23,328.92,2023-02-21,Completed,Cash on Delivery
SALE-03242,ACC-02379,ITEM-3005,1,82.23,82.23,2023-02-21,Delivered,Digital Wallet
SALE-03243,ACC-02487,ITEM-3001,1,289.35,289.35,2023-02-21,In Transit,Digital Wallet
SALE-03244,ACC-02142,ITEM-3005,1,82.23,82.23,2023-02-22,Returned,PayPal
SALE-03245,ACC-02234,ITEM-3017,1,107.57,107.57,2023-02-22,In Transit,Digital Wallet
SALE-03246,ACC-02358,ITEM-3005,4,79.26,317.03,2023-02-22,Processing,Digital Wallet
SALE-03247,ACC-02014,ITEM-3005,1,73.57,73.57,2023-02-22,Returned,Digital Wallet
SALE-03248,ACC-02453,ITEM-3002,1,20.75,20.75,2023-02-23,Pending,Bank Transfer
SALE-03249,ACC-02259,ITEM-3018,1,26.2,26.2,2023-02-23,Processing,Bank Transfer
SALE-03250,ACC-02323,ITEM-3011,1,95.37,95.37,2023-02-23,Processing,Cash on Delivery
SALE-03251,ACC-02026,ITEM-3012,2,86.4,172.8,2023-02-23,Returned,PayPal
SALE-03252,ACC-02218,ITEM-3005,1,82.23,82.23,2023-02-23,Cancelled,PayPal
SALE-03253,ACC-02431,ITEM-3004,1,153.99,153.99,2023-02-23,Completed,Bank Transfer
SALE-03254,ACC-02398,ITEM-3002,1,20.75,20.75,2023-02-24,Processing,Digital Wallet
SALE-03255,ACC-02237,ITEM-3005,1,82.23,82.23,2023-02-24,In Transit,PayPal
SALE-03256,ACC-02327,ITEM-3017,1,107.6,107.6,2023-02-24,Cancelled,Cash on Delivery
SALE-03257,ACC-02057,ITEM-3010,2,46.12,92.24,2023-02-24,Returned,Bank Transfer
SALE-03258,ACC-02188,ITEM-3014,3,246.69,740.07,2023-02-25,Cancelled,Bank Transfer
SALE-03259,ACC-02153,ITEM-3001,1,289.35,289.35,2023-02-25,Processing,Bank Transfer
SALE-03260,ACC-02473,ITEM-3011,3,95.37,286.11,2023-02-25,Returned,Bank Transfer
SALE-03261,ACC-02291,ITEM-3014,1,246.69,246.69,2023-02-26,Completed,Debit Card
SALE-03262,ACC-02484,ITEM-3019,1,9.01,9.01,2023-02-26,Completed,Bank Transfer
SALE-03263,ACC-02090,ITEM-3014,1,246.69,246.69,2023-02-26,Pending,Credit Card
SALE-03264,ACC-02130,ITEM-3020,1,18.67,18.67,2023-02-26,Processing,Debit Card
SALE-03265,ACC-02300,ITEM-3013,1,65.55,65.55,2023-02-26,Completed,Cash on Delivery
SALE-03266,ACC-02473,ITEM-3006,1,370.64,370.64,2023-02-27,Pending,Cash on Delivery
SALE-03267,ACC-02397,ITEM-3001,1,289.35,289.35,2023-02-27,Delivered,PayPal
SALE-03268,ACC-02491,ITEM-3001,1,289.35,289.35,2023-02-27,Cancelled,Bank Transfer
SALE-03269,ACC-02234,ITEM-3013,1,65.55,65.55,2023-02-27,Pending,PayPal
SALE-03270,ACC-02033,ITEM-3013,1,65.55,65.55,2023-02-27,Cancelled,Credit Card
SALE-03271,ACC-02415,ITEM-3019,2,9.01,18.02,2023-02-28,Processing,Cash on Delivery
SALE-03272,ACC-02253,ITEM-3019,1,9.01,9.01,2023-02-28,Completed,Bank Transfer
SALE-03273,ACC-02231,ITEM-3013,1,65.55,65.55,2023-02-28,Completed,Bank Transfer
SALE-03274,ACC-02084,ITEM-3011,1,95.37,95.37,2023-02-28,Delivered,Credit Card
