dataset1,dataset2,column1,column2,similarity
legacy_sales,third_products,shipping_status,availability_status,0.140779016392773
legacy_sales,third_customers,shipping_status,membership_status,0.140779016392773
legacy_customers,legacy_sales,customer_id,customer_id,0.1402750679341144
third_customers,third_sales,account_id,account_id,0.13885285284362103
legacy_customers,third_sales,street_address,customer_address,0.13834973858498656
legacy_products,third_products,product_name,product_dimensions,0.13762453659547272
legacy_products,modern_products,product_name,product_condition,0.13762453659547272
modern_customers,modern_sales,user_id,user_id,0.13643552095689748
legacy_customers,third_customers,registration_date,signup_date,0.13604704166457202
legacy_customers,third_products,zip_code,item_code,0.13287332128571305
legacy_products,modern_products,product_sku,product_condition,0.1312705148563327
legacy_products,third_products,product_sku,product_dimensions,0.1312705148563327
legacy_sales,third_sales,unit_price,item_price,0.12971039738665058
legacy_products,third_sales,list_price,item_price,0.12971039738665058
legacy_customers,third_sales,zip_code,item_code,0.12971039738665058
modern_products,third_sales,current_price,item_price,0.12963717589695198
legacy_products,modern_products,product_category,product_condition,0.12892457038789368
legacy_products,third_products,product_category,product_dimensions,0.12892457038789368
legacy_customers,third_customers,zip_code,country_code,0.1274481693347451
legacy_products,modern_products,list_price,current_price,0.12530032106876018
legacy_sales,third_products,unit_price,retail_price,0.12530032106876018
legacy_sales,modern_products,unit_price,current_price,0.12530032106876018
legacy_customers,third_customers,zip_code,postal_code,0.12530032106876018
legacy_products,third_products,list_price,retail_price,0.12530032106876018
modern_products,third_products,product_condition,product_dimensions,0.12522958906613577
modern_products,third_products,current_price,retail_price,0.12522958906613577
legacy_products,third_products,product_name,item_name,0.11099681602276133
legacy_sales,third_sales,order_id,sale_id,0.10776559553502607
legacy_products,third_products,product_name,brand_name,0.10757814822088099
modern_sales,third_sales,transaction_id,sale_id,0.10637725926018467
legacy_products,third_products,product_name,category_name,0.10630782024712367
legacy_products,third_customers,product_name,city_name,0.10630782024712367
legacy_products,third_customers,product_name,customer_name,0.10630782024712367
legacy_sales,modern_sales,order_id,transaction_id,0.10510899308798675
legacy_customers,third_sales,customer_id,sale_id,0.10452160429819446
legacy_sales,third_sales,customer_id,sale_id,0.10452160429819446
legacy_products,modern_customers,product_name,full_name,0.1044570748110118
legacy_sales,third_customers,order_id,account_id,0.10321310078491365
legacy_customers,third_products,last_name,item_name,0.10269981329648044
legacy_customers,third_products,first_name,item_name,0.10269981329648044
modern_customers,third_sales,user_id,sale_id,0.10263994084894693
modern_customers,third_products,full_name,item_name,0.10263994084894693
modern_sales,third_sales,user_id,sale_id,0.10263994084894693
legacy_customers,modern_sales,customer_id,transaction_id,0.10194497166912121
legacy_sales,modern_sales,customer_id,transaction_id,0.10194497166912121
modern_sales,third_customers,transaction_id,account_id,0.10188341396652657
legacy_sales,third_sales,order_id,account_id,0.10141623226874442
legacy_sales,modern_customers,order_id,user_id,0.10141623226874442
legacy_sales,modern_sales,order_id,user_id,0.10141623226874442
modern_sales,third_sales,transaction_id,account_id,0.10010969437585378
legacy_sales,third_customers,customer_id,account_id,0.10010615006645682
legacy_customers,third_customers,customer_id,account_id,0.10010615006645682
legacy_customers,third_products,first_name,brand_name,0.09953669062723376
legacy_customers,third_products,last_name,brand_name,0.09953669062723376
modern_customers,third_products,full_name,brand_name,0.09947866223267345
legacy_sales,modern_sales,customer_id,user_id,0.09836337140792029
legacy_sales,third_sales,customer_id,account_id,0.09836337140792029
legacy_customers,modern_sales,customer_id,user_id,0.09836337140792029
legacy_customers,third_sales,customer_id,account_id,0.09836337140792029
legacy_customers,modern_customers,customer_id,user_id,0.09836337140792029
legacy_sales,modern_customers,customer_id,user_id,0.09836337140792029
legacy_customers,third_products,last_name,category_name,0.09836131956340594
legacy_customers,third_customers,first_name,customer_name,0.09836131956340594
legacy_customers,third_customers,first_name,city_name,0.09836131956340594
legacy_customers,third_customers,last_name,customer_name,0.09836131956340594
legacy_customers,third_customers,last_name,city_name,0.09836131956340594
legacy_customers,third_products,first_name,category_name,0.09836131956340594
modern_customers,third_customers,user_id,account_id,0.09830397639250955
modern_customers,third_customers,full_name,city_name,0.09830397639250955
modern_customers,third_products,full_name,category_name,0.09830397639250955
modern_customers,third_customers,full_name,customer_name,0.09830397639250955
modern_sales,third_customers,user_id,account_id,0.09830397639250955
legacy_customers,modern_customers,last_name,full_name,0.09664891719405305
legacy_customers,modern_customers,first_name,full_name,0.09664891719405305
modern_customers,third_sales,user_id,account_id,0.09659257232799992
modern_sales,third_sales,user_id,account_id,0.09659257232799992
modern_customers,modern_products,email,brand,0.0961362306051137
modern_customers,modern_products,phone,brand,0.09361039526688246
modern_customers,modern_products,email,category,0.09361039526688246
modern_customers,modern_products,phone,category,0.09115092246560218
legacy_customers,legacy_products,country,brand,0.09112140183865976
legacy_customers,legacy_products,city,brand,0.09112140183865976
legacy_customers,legacy_products,state,brand,0.09112140183865976
modern_customers,modern_sales,email,qty,0.09011991739246611
modern_products,modern_sales,brand,qty,0.09011991739246611
modern_customers,modern_products,email,asin,0.09011991739246611
modern_customers,modern_products,email,title,0.09011991739246611
modern_customers,modern_products,email,specifications,0.09011991739246611
modern_customers,modern_sales,email,timestamp,0.09011991739246611
modern_customers,modern_products,email,subcategory,0.09011991739246611
modern_customers,modern_products,email,seller,0.09011991739246611
modern_products,modern_sales,brand,timestamp,0.09011991739246611
modern_customers,modern_products,phone,title,0.08775215166464838
modern_customers,modern_sales,phone,qty,0.08775215166464838
modern_customers,modern_sales,phone,timestamp,0.08775215166464838
modern_customers,modern_products,phone,seller,0.08775215166464838
modern_products,modern_sales,category,qty,0.08775215166464838
modern_products,modern_sales,category,timestamp,0.08775215166464838
modern_customers,modern_products,phone,asin,0.08775215166464838
modern_customers,modern_products,phone,specifications,0.08775215166464838
modern_customers,modern_products,phone,subcategory,0.08775215166464838
legacy_products,legacy_sales,brand,quantity,0.08771515012935271
legacy_customers,legacy_products,state,manufacturer,0.08540432068261022
legacy_customers,legacy_sales,city,quantity,0.08540432068261022
legacy_customers,legacy_sales,state,quantity,0.08540432068261022
legacy_customers,legacy_products,country,manufacturer,0.08540432068261022
legacy_customers,legacy_sales,country,quantity,0.08540432068261022
legacy_customers,legacy_products,city,dimensions,0.08540432068261022
legacy_customers,legacy_products,state,dimensions,0.08540432068261022
legacy_customers,legacy_products,country,dimensions,0.08540432068261022
legacy_customers,legacy_products,city,manufacturer,0.08540432068261022
modern_products,modern_sales,asin,qty,0.08448011181325546
modern_products,modern_sales,subcategory,timestamp,0.08448011181325546
modern_products,modern_sales,specifications,timestamp,0.08448011181325546
modern_products,modern_sales,asin,timestamp,0.08448011181325546
modern_products,modern_sales,specifications,qty,0.08448011181325546
modern_products,modern_sales,seller,qty,0.08448011181325546
modern_products,modern_sales,seller,timestamp,0.08448011181325546
modern_products,modern_sales,title,timestamp,0.08448011181325546
modern_products,modern_sales,subcategory,qty,0.08448011181325546
modern_products,modern_sales,title,qty,0.08448011181325546
legacy_products,legacy_sales,manufacturer,quantity,0.08221178185597504
legacy_products,legacy_sales,dimensions,quantity,0.08221178185597504
modern_products,modern_sales,brand,transaction_id,0.06414335685965081
modern_customers,modern_sales,email,transaction_id,0.06414335685965081
legacy_customers,legacy_products,state,product_name,0.06334832246417708
legacy_customers,legacy_products,city,product_name,0.06334832246417708
legacy_customers,legacy_products,country,product_name,0.06334832246417708
legacy_products,legacy_sales,brand,order_id,0.06316834510981578
modern_customers,modern_sales,phone,transaction_id,0.06245808631753467
modern_products,modern_sales,category,transaction_id,0.06245808631753467
modern_customers,modern_products,user_id,brand,0.061889828706948244
modern_customers,modern_products,full_name,brand,0.061889828706948244
modern_customers,modern_sales,email,user_id,0.061889828706948244
modern_products,modern_sales,brand,user_id,0.061889828706948244
modern_customers,modern_products,shipping_city,brand,0.06173772897521793
modern_customers,modern_products,shipping_state,brand,0.061737728975217926
modern_customers,modern_products,shipping_zip,brand,0.061737728975217926
third_products,third_sales,supplier,sale_id,0.06164894331440026
legacy_products,legacy_sales,brand,order_date,0.06163891442931448
legacy_customers,legacy_sales,city,order_id,0.06150419391396773
legacy_customers,legacy_sales,state,order_id,0.06150419391396773
legacy_customers,legacy_sales,country,order_id,0.06150419391396773
modern_products,modern_sales,brand,transaction_total,0.061408069735345426
modern_customers,modern_sales,email,transaction_total,0.061408069735345426
legacy_products,legacy_sales,brand,customer_id,0.06126683325007949
legacy_customers,legacy_products,customer_id,brand,0.06126683325007949
legacy_products,legacy_sales,product_name,quantity,0.06098026921520052
legacy_products,legacy_sales,brand,shipping_address,0.06091848341744273
legacy_products,legacy_sales,brand,shipping_status,0.06091848341744273
modern_customers,modern_products,email,product_condition,0.060901009912731736
modern_customers,modern_products,email,current_price,0.060901009912731736
legacy_customers,legacy_products,email_address,brand,0.06055181551923302
legacy_customers,legacy_products,country,product_sku,0.06042357787986962
legacy_customers,legacy_products,state,product_sku,0.06042357787986962
legacy_customers,legacy_products,city,product_sku,0.06042357787986962
modern_customers,modern_products,email,stock_quantity,0.06039059654534386
modern_customers,modern_products,full_name,category,0.06026376623870776
modern_products,modern_sales,category,user_id,0.06026376623870776
modern_customers,modern_sales,phone,user_id,0.06026376623870776
modern_customers,modern_products,user_id,category,0.06026376623870776
legacy_customers,legacy_products,last_name,brand,0.06019896439877411
legacy_customers,legacy_products,first_name,brand,0.06019896439877411
modern_products,modern_sales,seller,transaction_id,0.06012919359415495
modern_products,modern_sales,title,transaction_id,0.06012919359415495
modern_products,modern_sales,specifications,transaction_id,0.06012919359415495
modern_products,modern_sales,subcategory,transaction_id,0.06012919359415495
modern_products,modern_sales,asin,transaction_id,0.06012919359415495
third_products,third_sales,supplier,sale_date,0.060121397863886476
modern_customers,modern_products,shipping_city,category,0.06011566269941106
modern_customers,modern_products,shipping_state,category,0.06011566269941105
modern_customers,modern_products,shipping_zip,category,0.06011566269941105
modern_customers,modern_sales,email,payment_type,0.06005280739921829
modern_products,modern_sales,brand,payment_type,0.06005280739921829
legacy_customers,legacy_sales,state,order_date,0.060015055628201454
legacy_customers,legacy_sales,city,order_date,0.060015055628201454
legacy_customers,legacy_sales,country,order_date,0.060015055628201454
modern_products,modern_sales,category,transaction_total,0.059794664761863424
modern_customers,modern_sales,phone,transaction_total,0.059794664761863424
legacy_customers,legacy_sales,city,customer_id,0.05965277681656529
legacy_customers,legacy_sales,state,customer_id,0.05965277681656529
legacy_customers,legacy_sales,country,customer_id,0.05965277681656529
modern_customers,modern_sales,email,product_asin,0.059422078912098025
modern_products,modern_sales,brand,product_asin,0.059422078912098025
modern_customers,modern_products,prime_member,brand,0.059422078912098025
modern_customers,modern_products,email,weight_kg,0.059422078912098025
modern_customers,modern_products,account_created,brand,0.059422078912098025
legacy_customers,legacy_products,country,product_category,0.05934374393204279
legacy_customers,legacy_products,state,product_category,0.05934374393204279
legacy_customers,legacy_products,city,product_category,0.05934374393204279
legacy_customers,legacy_sales,country,shipping_status,0.059313604156285164
legacy_customers,legacy_sales,city,shipping_status,0.059313604156285164
legacy_customers,legacy_sales,city,shipping_address,0.059313604156285164
legacy_customers,legacy_sales,country,shipping_address,0.059313604156285164
legacy_customers,legacy_sales,state,shipping_status,0.059313604156285164
legacy_customers,legacy_sales,state,shipping_address,0.059313604156285164
modern_customers,modern_products,phone,current_price,0.059300927175939204
modern_customers,modern_products,phone,product_condition,0.059300927175939204
legacy_products,legacy_sales,brand,unit_price,0.05923606505111124
legacy_customers,legacy_products,zip_code,brand,0.05923606505111124
legacy_products,legacy_sales,manufacturer,order_id,0.059205076896212176
legacy_products,legacy_sales,dimensions,order_id,0.059205076896212176
third_products,third_sales,supplier,item_price,0.05909909025596989
third_products,third_sales,supplier,item_code,0.05909909025596989
third_customers,third_products,customer_name,supplier,0.05904461964880545
third_customers,third_products,account_id,supplier,0.05904461964880545
third_customers,third_products,city_name,supplier,0.05904461964880545
third_products,third_sales,supplier,sale_total,0.0588943445502783
legacy_customers,legacy_products,registration_date,brand,0.05887084356742836
legacy_customers,legacy_products,street_address,brand,0.05887084356742836
modern_customers,modern_products,phone,stock_quantity,0.058803924154602324
legacy_customers,legacy_products,phone_number,brand,0.05873905170445565
legacy_products,legacy_sales,brand,product_sku,0.05873905170445565
modern_customers,modern_sales,email,promotion_applied,0.058498712881070496
modern_customers,modern_sales,email,fulfillment_channel,0.058498712881070496
modern_products,modern_sales,brand,promotion_applied,0.058498712881070496
modern_products,modern_sales,brand,fulfillment_channel,0.058498712881070496
modern_customers,modern_products,loyalty_tier,brand,0.058498712881070496
modern_customers,modern_sales,phone,payment_type,0.05847500991190063
modern_products,modern_sales,category,payment_type,0.05847500991190063
legacy_products,legacy_sales,brand,payment_method,0.05841013833516495
legacy_products,legacy_sales,product_sku,quantity,0.058164855875129436
third_customers,third_products,country_code,supplier,0.058068366254557566
modern_products,modern_sales,seller,user_id,0.05801669376256337
modern_customers,modern_sales,user_id,qty,0.05801669376256337
modern_customers,modern_products,full_name,title,0.05801669376256337
modern_customers,modern_products,user_id,specifications,0.05801669376256337
modern_customers,modern_products,user_id,seller,0.05801669376256337
modern_customers,modern_products,full_name,asin,0.05801669376256337
modern_customers,modern_sales,user_id,timestamp,0.05801669376256337
third_products,third_sales,supplier,account_id,0.05801669376256337
modern_customers,modern_products,user_id,subcategory,0.05801669376256337
modern_customers,modern_sales,full_name,timestamp,0.05801669376256337
modern_products,modern_sales,title,user_id,0.05801669376256337
modern_customers,modern_sales,full_name,qty,0.05801669376256337
modern_products,modern_sales,specifications,user_id,0.05801669376256337
modern_customers,modern_products,user_id,title,0.05801669376256337
modern_customers,modern_products,user_id,asin,0.05801669376256337
modern_customers,modern_products,full_name,specifications,0.05801669376256337
modern_products,modern_sales,subcategory,user_id,0.05801669376256337
modern_products,modern_sales,asin,user_id,0.05801669376256337
modern_customers,modern_products,full_name,subcategory,0.05801669376256337
modern_customers,modern_products,full_name,seller,0.05801669376256337
modern_customers,modern_products,shipping_city,asin,0.05787411260275844
modern_customers,modern_products,shipping_city,title,0.05787411260275844
modern_customers,modern_products,shipping_city,subcategory,0.05787411260275844
modern_customers,modern_products,shipping_city,seller,0.05787411260275844
modern_customers,modern_sales,shipping_city,timestamp,0.05787411260275844
modern_customers,modern_sales,shipping_city,qty,0.05787411260275844
modern_customers,modern_products,shipping_city,specifications,0.05787411260275844
modern_customers,modern_products,shipping_zip,seller,0.057874112602758425
modern_customers,modern_products,shipping_state,seller,0.057874112602758425
modern_customers,modern_products,shipping_state,subcategory,0.057874112602758425
modern_customers,modern_products,shipping_zip,specifications,0.057874112602758425
modern_customers,modern_sales,shipping_state,qty,0.057874112602758425
modern_customers,modern_sales,shipping_state,timestamp,0.057874112602758425
modern_customers,modern_products,shipping_state,title,0.057874112602758425
modern_customers,modern_sales,shipping_zip,qty,0.057874112602758425
modern_customers,modern_products,shipping_state,asin,0.057874112602758425
modern_customers,modern_sales,shipping_zip,timestamp,0.057874112602758425
modern_customers,modern_products,shipping_state,specifications,0.057874112602758425
modern_customers,modern_products,shipping_zip,asin,0.057874112602758425
modern_customers,modern_products,shipping_zip,title,0.057874112602758425
modern_customers,modern_products,shipping_zip,subcategory,0.057874112602758425
modern_customers,modern_products,account_created,category,0.05786085287023407
modern_customers,modern_products,phone,weight_kg,0.05786085287023407
modern_products,modern_sales,category,product_asin,0.05786085287023407
modern_customers,modern_sales,phone,product_asin,0.05786085287023407
modern_customers,modern_products,prime_member,category,0.05786085287023407
legacy_customers,legacy_products,premium_member,brand,0.05779599922087239
legacy_products,legacy_sales,dimensions,order_date,0.05777160478468087
legacy_products,legacy_sales,manufacturer,order_date,0.05777160478468087
third_products,third_sales,supplier,customer_address,0.05769849701500273
legacy_customers,legacy_products,city,list_price,0.05767550859960429
legacy_customers,legacy_sales,state,unit_price,0.05767550859960429
legacy_customers,legacy_sales,city,unit_price,0.05767550859960429
legacy_customers,legacy_products,country,list_price,0.05767550859960429
legacy_customers,legacy_products,state,list_price,0.05767550859960429
legacy_customers,legacy_sales,country,unit_price,0.05767550859960429
modern_products,modern_sales,asin,transaction_total,0.05756508380812008
modern_products,modern_sales,title,transaction_total,0.05756508380812008
modern_products,modern_sales,subcategory,transaction_total,0.05756508380812008
modern_products,modern_sales,seller,transaction_total,0.05756508380812008
modern_products,modern_sales,specifications,transaction_total,0.05756508380812008
legacy_customers,legacy_products,customer_id,manufacturer,0.05742286848661981
legacy_products,legacy_sales,dimensions,customer_id,0.05742286848661981
legacy_customers,legacy_sales,customer_id,quantity,0.05742286848661981
legacy_customers,legacy_products,customer_id,dimensions,0.05742286848661981
legacy_products,legacy_sales,manufacturer,customer_id,0.05742286848661981
third_products,third_sales,supplier,order_quantity,0.05723225247750662
legacy_customers,legacy_sales,state,product_sku,0.05719158892120535
legacy_customers,legacy_sales,city,product_sku,0.05719158892120535
legacy_customers,legacy_sales,country,product_sku,0.05719158892120535
legacy_products,legacy_sales,product_category,quantity,0.05712538770478555
legacy_products,legacy_sales,manufacturer,shipping_status,0.05709637459807187
legacy_products,legacy_sales,dimensions,shipping_address,0.05709637459807187
legacy_products,legacy_sales,dimensions,shipping_status,0.05709637459807187
legacy_products,legacy_sales,manufacturer,shipping_address,0.05709637459807187
modern_products,modern_sales,current_price,timestamp,0.05708975635831934
modern_products,modern_sales,product_condition,timestamp,0.05708975635831934
modern_products,modern_sales,current_price,qty,0.05708975635831934
third_customers,third_products,postal_code,supplier,0.05708975635831934
modern_products,modern_sales,product_condition,qty,0.05708975635831934
modern_products,modern_sales,category,promotion_applied,0.056961746897424045
modern_customers,modern_products,loyalty_tier,category,0.056961746897424045
modern_customers,modern_sales,phone,fulfillment_channel,0.056961746897424045
modern_customers,modern_sales,phone,promotion_applied,0.056961746897424045
modern_products,modern_sales,category,fulfillment_channel,0.056961746897424045
legacy_products,legacy_sales,brand,total_amount,0.05689695737046523
legacy_customers,legacy_sales,state,payment_method,0.05687134067644632
legacy_customers,legacy_sales,country,payment_method,0.05687134067644632
legacy_customers,legacy_sales,city,payment_method,0.05687134067644632
legacy_customers,legacy_products,email_address,manufacturer,0.056752711944394005
legacy_customers,legacy_products,email_address,dimensions,0.056752711944394005
legacy_customers,legacy_sales,email_address,quantity,0.056752711944394005
third_customers,third_products,membership_status,supplier,0.05673816161612245
third_products,third_sales,supplier,delivery_status,0.05673816161612245
third_customers,third_products,signup_date,supplier,0.05673816161612245
modern_products,modern_sales,stock_quantity,qty,0.05661128523234033
modern_products,modern_sales,stock_quantity,timestamp,0.05661128523234033
legacy_customers,legacy_sales,first_name,quantity,0.05642199918496732
legacy_customers,legacy_products,last_name,manufacturer,0.05642199918496732
legacy_customers,legacy_products,last_name,dimensions,0.05642199918496732
legacy_customers,legacy_sales,last_name,quantity,0.05642199918496732
legacy_customers,legacy_products,first_name,manufacturer,0.05642199918496732
legacy_customers,legacy_products,first_name,dimensions,0.05642199918496732
third_products,third_sales,supplier,payment_option,0.05629463531010708
modern_products,modern_sales,seller,payment_type,0.05629463531010708
modern_products,modern_sales,specifications,payment_type,0.05629463531010708
modern_products,modern_sales,asin,payment_type,0.05629463531010708
modern_products,modern_sales,title,payment_type,0.05629463531010708
third_customers,third_products,email_addr,supplier,0.05629463531010708
modern_products,modern_sales,subcategory,payment_type,0.05629463531010708
legacy_customers,legacy_products,state,weight_lbs,0.056273380873796165
legacy_customers,legacy_products,country,weight_lbs,0.056273380873796165
legacy_customers,legacy_products,city,weight_lbs,0.056273380873796165
modern_customers,modern_products,prime_member,title,0.05570337851962782
modern_products,modern_sales,seller,product_asin,0.05570337851962782
modern_customers,modern_products,prime_member,subcategory,0.05570337851962782
modern_customers,modern_products,prime_member,seller,0.05570337851962782
modern_customers,modern_sales,account_created,timestamp,0.05570337851962782
modern_products,modern_sales,specifications,product_asin,0.05570337851962782
modern_customers,modern_products,prime_member,specifications,0.05570337851962782
modern_customers,modern_sales,account_created,qty,0.05570337851962782
modern_customers,modern_sales,prime_member,qty,0.05570337851962782
modern_customers,modern_products,account_created,specifications,0.05570337851962782
modern_customers,modern_products,account_created,seller,0.05570337851962782
modern_customers,modern_products,account_created,subcategory,0.05570337851962782
modern_products,modern_sales,weight_kg,timestamp,0.05570337851962782
modern_products,modern_sales,subcategory,product_asin,0.05570337851962782
modern_products,modern_sales,asin,product_asin,0.05570337851962782
modern_customers,modern_products,account_created,asin,0.05570337851962782
third_customers,third_products,contact_number,supplier,0.05570337851962782
modern_products,modern_sales,title,product_asin,0.05570337851962782
modern_customers,modern_sales,prime_member,timestamp,0.05570337851962782
third_customers,third_products,state_province,supplier,0.05570337851962782
modern_customers,modern_products,prime_member,asin,0.05570337851962782
modern_products,modern_sales,weight_kg,qty,0.05570337851962782
modern_customers,modern_products,account_created,title,0.05570337851962782
legacy_products,legacy_sales,list_price,quantity,0.05551951345698781
legacy_customers,legacy_products,zip_code,manufacturer,0.05551951345698781
legacy_customers,legacy_products,zip_code,dimensions,0.05551951345698781
legacy_customers,legacy_sales,zip_code,quantity,0.05551951345698781
legacy_products,legacy_sales,dimensions,unit_price,0.05551951345698781
legacy_products,legacy_sales,manufacturer,unit_price,0.05551951345698781
legacy_customers,legacy_sales,country,total_amount,0.05539802401256945
legacy_customers,legacy_products,city,is_active,0.05539802401256945
legacy_customers,legacy_products,city,inventory_count,0.05539802401256945
legacy_customers,legacy_sales,state,total_amount,0.05539802401256945
legacy_customers,legacy_sales,city,total_amount,0.05539802401256945
legacy_customers,legacy_products,state,inventory_count,0.05539802401256945
legacy_customers,legacy_products,country,inventory_count,0.05539802401256945
legacy_customers,legacy_products,country,is_active,0.05539802401256945
legacy_customers,legacy_products,state,is_active,0.05539802401256945
legacy_customers,legacy_sales,registration_date,quantity,0.05517720646781463
legacy_customers,legacy_products,registration_date,dimensions,0.05517720646781463
legacy_customers,legacy_products,registration_date,manufacturer,0.05517720646781463
legacy_customers,legacy_sales,street_address,quantity,0.05517720646781463
legacy_customers,legacy_products,street_address,manufacturer,0.05517720646781463
legacy_customers,legacy_products,street_address,dimensions,0.05517720646781463
legacy_products,legacy_sales,manufacturer,product_sku,0.055053683406255396
legacy_customers,legacy_products,phone_number,manufacturer,0.055053683406255396
legacy_customers,legacy_products,phone_number,dimensions,0.055053683406255396
legacy_customers,legacy_sales,phone_number,quantity,0.055053683406255396
legacy_products,legacy_sales,dimensions,product_sku,0.055053683406255396
modern_customers,modern_sales,loyalty_tier,timestamp,0.05483779777118953
modern_products,modern_sales,title,promotion_applied,0.05483779777118953
modern_products,modern_sales,subcategory,fulfillment_channel,0.05483779777118953
modern_products,modern_sales,subcategory,promotion_applied,0.05483779777118953
modern_products,modern_sales,asin,fulfillment_channel,0.05483779777118953
modern_products,modern_sales,seller,fulfillment_channel,0.05483779777118953
modern_products,modern_sales,seller,promotion_applied,0.05483779777118953
modern_customers,modern_products,loyalty_tier,seller,0.05483779777118953
modern_products,modern_sales,title,fulfillment_channel,0.05483779777118953
modern_products,modern_sales,asin,promotion_applied,0.05483779777118953
modern_customers,modern_products,loyalty_tier,specifications,0.05483779777118953
modern_customers,modern_products,loyalty_tier,title,0.05483779777118953
modern_customers,modern_products,loyalty_tier,asin,0.05483779777118953
modern_products,modern_sales,specifications,fulfillment_channel,0.05483779777118953
modern_products,modern_sales,specifications,promotion_applied,0.05483779777118953
modern_customers,modern_sales,loyalty_tier,qty,0.05483779777118953
third_customers,third_products,address_line,supplier,0.05483779777118953
modern_customers,modern_products,loyalty_tier,subcategory,0.05483779777118953
legacy_products,legacy_sales,dimensions,payment_method,0.0547454065108073
legacy_products,legacy_sales,manufacturer,payment_method,0.0547454065108073
legacy_products,legacy_sales,weight_lbs,quantity,0.05416979932300695
legacy_customers,legacy_products,premium_member,dimensions,0.05416979932300695
legacy_customers,legacy_products,premium_member,manufacturer,0.05416979932300695
legacy_customers,legacy_sales,premium_member,quantity,0.05416979932300695
legacy_products,legacy_sales,dimensions,total_amount,0.05332716458572305
legacy_products,legacy_sales,inventory_count,quantity,0.05332716458572305
legacy_products,legacy_sales,is_active,quantity,0.05332716458572305
legacy_products,legacy_sales,manufacturer,total_amount,0.05332716458572305
modern_products,modern_sales,brand,price_per_item,0.046559087314071865
modern_customers,modern_sales,email,price_per_item,0.046559087314071865
modern_products,modern_sales,category,price_per_item,0.045335817093121254
modern_customers,modern_sales,phone,price_per_item,0.045335817093121254
third_products,third_sales,item_name,sale_id,0.04498801114495921
third_products,third_sales,item_code,sale_id,0.04417890561664806
